 Velocidad(m/s)            Velocidad/c          Masa(kg)

         0.00000            0.00000             1.00000
   1000000.00000            0.00333             1.00001
   2000000.00000            0.00667             1.00002
   3000000.00000            0.01000             1.00005
   4000000.00000            0.01333             1.00009
   5000000.00000            0.01667             1.00014
   6000000.00000            0.02000             1.00020
   7000000.00000            0.02333             1.00027
   8000000.00000            0.02667             1.00036
   9000000.00000            0.03000             1.00045
  10000000.00000            0.03333             1.00056
  11000000.00000            0.03667             1.00067
  12000000.00000            0.04000             1.00080
  13000000.00000            0.04333             1.00094
  14000000.00000            0.04667             1.00109
  15000000.00000            0.05000             1.00125
  16000000.00000            0.05333             1.00143
  17000000.00000            0.05667             1.00161
  18000000.00000            0.06000             1.00180
  19000000.00000            0.06333             1.00201
  20000000.00000            0.06667             1.00223
  21000000.00000            0.07000             1.00246
  22000000.00000            0.07333             1.00270
  23000000.00000            0.07667             1.00295
  24000000.00000            0.08000             1.00322
  25000000.00000            0.08333             1.00349
  26000000.00000            0.08667             1.00378
  27000000.00000            0.09000             1.00407
  28000000.00000            0.09333             1.00438
  29000000.00000            0.09667             1.00471
  30000000.00000            0.10000             1.00504
  31000000.00000            0.10333             1.00538
  32000000.00000            0.10667             1.00574
  33000000.00000            0.11000             1.00611
  34000000.00000            0.11333             1.00648
  35000000.00000            0.11667             1.00688
  36000000.00000            0.12000             1.00728
  37000000.00000            0.12333             1.00769
  38000000.00000            0.12667             1.00812
  39000000.00000            0.13000             1.00856
  40000000.00000            0.13333             1.00901
  41000000.00000            0.13667             1.00947
  42000000.00000            0.14000             1.00995
  43000000.00000            0.14333             1.01043
  44000000.00000            0.14667             1.01093
  45000000.00000            0.15000             1.01144
  46000000.00000            0.15333             1.01197
  47000000.00000            0.15667             1.01250
  48000000.00000            0.16000             1.01305
  49000000.00000            0.16333             1.01361
  50000000.00000            0.16667             1.01419
  51000000.00000            0.17000             1.01477
  52000000.00000            0.17333             1.01537
  53000000.00000            0.17667             1.01598
  54000000.00000            0.18000             1.01660
  55000000.00000            0.18333             1.01724
  56000000.00000            0.18667             1.01789
  57000000.00000            0.19000             1.01855
  58000000.00000            0.19333             1.01923
  59000000.00000            0.19667             1.01992
  60000000.00000            0.20000             1.02062
  61000000.00000            0.20333             1.02134
  62000000.00000            0.20667             1.02206
  63000000.00000            0.21000             1.02281
  64000000.00000            0.21333             1.02356
  65000000.00000            0.21667             1.02433
  66000000.00000            0.22000             1.02512
  67000000.00000            0.22333             1.02591
  68000000.00000            0.22667             1.02672
  69000000.00000            0.23000             1.02755
  70000000.00000            0.23333             1.02839
  71000000.00000            0.23667             1.02924
  72000000.00000            0.24000             1.03011
  73000000.00000            0.24333             1.03099
  74000000.00000            0.24667             1.03188
  75000000.00000            0.25000             1.03280
  76000000.00000            0.25333             1.03372
  77000000.00000            0.25667             1.03466
  78000000.00000            0.26000             1.03562
  79000000.00000            0.26333             1.03659
  80000000.00000            0.26667             1.03757
  81000000.00000            0.27000             1.03857
  82000000.00000            0.27333             1.03959
  83000000.00000            0.27667             1.04062
  84000000.00000            0.28000             1.04167
  85000000.00000            0.28333             1.04273
  86000000.00000            0.28667             1.04381
  87000000.00000            0.29000             1.04490
  88000000.00000            0.29333             1.04601
  89000000.00000            0.29667             1.04714
  90000000.00000            0.30000             1.04828
  91000000.00000            0.30333             1.04945
